id;nom_artiste;prenom_artiste;domaine;autre_domaine
1;ADP c salmon;withdrawal;Danseurs;Account Ergonomic deposit
2;Computer quantify;Switchable;Artistes;ADP Ergonomic
3;Buckinghamshire Borders a;Health card Games;Danseurs;microchip relationships
4;Fresh;Micronésie methodologies;Peintres;neutral
5;global;Enterprise-wide reinvent b;Danseurs;copy portals
6;ability Avon;deliverables Directeur;Chanteurs;generate Helena input
7;reboot Égypte l'Abbaye;Computer;Chanteurs;Basse-Normandie Rica
8;Bahamas;copying Nord-Pas-de-Calais RAM;Danseurs;c Avon Poitou-Charentes
9;Nouvelle-Zélande Auto Poitou-Charentes;b invoice Bedfordshire;Artistes;Sausages action-items Ergonomic
10;e-business even-keeled;Toys a olive;Artistes;green Assistant Profound
