id;nom_club;date_creation;logo;logo_content_type;discipline
1;Tuna;2022-06-26;../fake-data/blob/hipster.png;image/png;TAEKWONDO
2;Handmade;2022-06-26;../fake-data/blob/hipster.png;image/png;TAEKWONDO
3;next-generation superstructure;2022-06-27;../fake-data/blob/hipster.png;image/png;KARATE
4;bypassing Analyste bypass;2022-06-27;../fake-data/blob/hipster.png;image/png;BOXE
5;global;2022-06-27;../fake-data/blob/hipster.png;image/png;TAEKWONDO
6;workforce;2022-06-26;../fake-data/blob/hipster.png;image/png;TAEKWONDO
7;copy Concrete;2022-06-27;../fake-data/blob/hipster.png;image/png;BOXE
8;Berkshire payment;2022-06-27;../fake-data/blob/hipster.png;image/png;TAEKWONDO
9;Account;2022-06-27;../fake-data/blob/hipster.png;image/png;BOXE
10;generate Plastic Wooden;2022-06-26;../fake-data/blob/hipster.png;image/png;KARATE
