id;date_competition;lieu_competition;discipline
1;2022-06-26T17:04:11;a;KARATE
2;2022-06-27T01:29:56;Extended line Chair;BOXE
3;2022-06-26T23:12:12;calculate Rubber de;TAEKWONDO
4;2022-06-27T04:07:34;invoice Ball;BOXE
5;2022-06-27T08:58:52;Practical;BOXE
6;2022-06-27T08:47:08;Lombards payment;KARATE
7;2022-06-26T22:36:06;Ergonomic Bahreïn;TAEKWONDO
8;2022-06-26T13:46:40;Licensed empowering solution-oriented;BOXE
9;2022-06-27T01:52:51;invoice deposit;BOXE
10;2022-06-27T06:22:42;exuding benchmark c;TAEKWONDO
