id;type_activite;description;date_activite
1;Île-de-France;USB;2022-06-26T14:08:15
2;Multi-channelled plum;Superviseur;2022-06-27T04:22:23
3;SQL auxiliary;wireless;2022-06-26T19:51:12
4;primary connect a;Islands;2022-06-27T04:28:46
5;c;b alarm Aquitaine;2022-06-27T11:14:41
6;c Consultant Sausages;array;2022-06-26T21:32:56
7;Bretagne;c;2022-06-26T21:14:18
8;copy;Dollar) Practical;2022-06-27T06:43:43
9;b Handcrafted virtual;Ergonomic bandwidth;2022-06-26T23:09:02
10;Basse-Normandie implementation;PNG;2022-06-26T14:01:51
