id;nom_equipe;date_creation;logo;logo_content_type
1;proactive Franc;2022-03-02;../fake-data/blob/hipster.png;image/png
2;neural-net Krona;2022-03-01;../fake-data/blob/hipster.png;image/png
3;alarm;2022-03-02;../fake-data/blob/hipster.png;image/png
4;de Administrateur c;2022-03-02;../fake-data/blob/hipster.png;image/png
5;c Consultant;2022-03-02;../fake-data/blob/hipster.png;image/png
6;discrete;2022-03-02;../fake-data/blob/hipster.png;image/png
7;foreground optical;2022-03-01;../fake-data/blob/hipster.png;image/png
8;matrix cross-media c;2022-03-01;../fake-data/blob/hipster.png;image/png
9;Small Organized;2022-03-01;../fake-data/blob/hipster.png;image/png
10;Account navigating Grocery;2022-03-01;../fake-data/blob/hipster.png;image/png
