id;nom_etat;date_creation;description;logo;logo_content_type
1;support purple neural;2022-06-26;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png
2;Provence-Alpes-Côte;2022-06-26;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png
3;Nam;2022-06-26;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png
4;Awesome Gloves;2022-06-26;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png
5;Salad;2022-06-27;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png
6;c a Borders;2022-06-27;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png
7;Yémen teal;2022-06-26;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png
8;Denar;2022-06-26;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png
9;Bedfordshire haptic;2022-06-27;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png
10;bricks-and-clicks;2022-06-26;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png
