id;date_match;lieu_match;score_match
1;2022-06-27T02:08:31;Grocery;56337
2;2022-06-26T11:25:02;Movies;55969
3;2022-06-26T23:07:30;Interface Stand-alone Tilsitt;96761
4;2022-06-26T14:13:15;Unbranded Stagiaire;74715
5;2022-06-27T06:14:10;Tuna Vaugirard Awesome;33432
6;2022-06-27T08:29:33;Architecte morph Alsace;99475
7;2022-06-26T16:14:20;expedite Electronics;64194
8;2022-06-27T10:18:15;Cap-Vert Berkshire;63644
9;2022-06-27T06:50:48;Limousin;98637
10;2022-06-27T11:21:33;solution bypass Licensed;63443
