id;theme;interdiction;bonne_pratique
1;2022-06-26;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
2;2022-06-27;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
3;2022-06-26;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
4;2022-06-27;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
5;2022-06-26;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
6;2022-06-27;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
7;2022-06-27;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
8;2022-06-27;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
9;2022-06-26;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
10;2022-06-27;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
